#header line: GPU processors,avg,error_bar,run1,run2,run3
1,2.5745709233333334,0.006346980000000002,2.571225,2.57491579,2.57757198
4,0.6451518666666667,0.002675259999999957,0.6444985,0.64414092,0.64681618
8,0.32292611,0.00032218000000000524,0.32292153,0.32308949,0.32276731
12,0.21934019000000002,0.007800499999999988,0.22312235,0.21957637,0.21532185
16,0.16648715333333333,0.005037920000000001,0.16847943,0.16344151,0.16754052
20,0.13646907333333333,0.0014466800000000057,0.13730085,0.13585417,0.1362522
24,0.11643555666666666,0.0024592600000000048,0.11797314,0.11581965,0.11551388
28,0.10482433333333334,0.014015769999999997,0.09972198,0.11373775,0.10101327
32,0.10645002999999999,0.025414489999999998,0.1149818,0.08956731,0.11480098
36,0.09432789000000001,0.009463610000000011,0.09870694,0.0950334,0.08924333
40,0.09490009333333334,0.03279583,0.09066053,0.08062196,0.11341779
44,0.12115617333333334,0.04021344,0.13299136,0.1353453,0.09513186
48,0.12192551,0.02908021999999999,0.134731,0.12539475,0.10565078
