GPU processors,avg,error_bar,run1,run2,run3
4,2.5825661533333335,0.009104170000000078,2.58056441,2.58811911,2.57901494
8,2.5910352966666665,0.0063508299999996964,2.59364422,2.58729339,2.59216828
12,2.6058940333333336,0.030772639999999907,2.59521505,2.59647936,2.62598769
16,2.6172361666666664,0.012094320000000103,2.62459905,2.61460472,2.61250473
20,2.70610149,0.07908917000000004,2.66346052,2.74254969,2.71229426
24,2.7137630099999996,0.10474394000000009,2.67824898,2.68004713,2.78299292
28,2.9014952,0.07764008000000011,2.87147212,2.9491122,2.88390128
32,3.0194210533333337,0.14696657000000002,3.02227231,2.94451214,3.09147871
36,3.067699446666667,0.1530277800000004,2.99871821,3.05263414,3.15174599
40,3.0288252866666667,0.020392570000000276,3.01579273,3.03449783,3.0361853
44,3.0963062666666663,0.08927776999999981,3.14720087,3.08379483,3.0579231
48,3.184499066666666,0.22601493000000028,3.3133145,3.08729957,3.15288313
